	Rotor	RMSD_1.0	RMSD_1.5	RMSD_2.0	RMSD_2.5	RMSD_3.0
0	0	100	100	100	100	100
1	1	100	100	100	100	100
2	2	100	100	100	100	100
3	3	100	100	100	100	100
4	4	100	100	100	100	100
5	5	100	100	100	100	100
6	6	100	100	100	100	100
7	7	109	100	100	100	100
8	8	183	100	100	100	100
9	9	319	100	100	100	100
10	10	464	100	100	100	100
11	11	537	100	100	100	100
12	12	1000	151	100	100	100
13	13	1000	244	100	100	100
14	14	1000	545	100	100	100
15	15	1000	652	100	100	100
16	16	1000	1000	101	100	100
17	17	1000	1000	206	100	100
18	18	1000	1000	299	100	100
19	19	1000	1000	497	100	100
20	20	1000	1000	300	100	100
21	21	1000	1000	435	100	100
22	22	1000	1000	1000	100	100
23	23	1000	1000	1000	136	100
24	24	1000	1000	1000	210	100
25	25	1000	1000	1000	409	100
